,unique_cleaned_resolution_description
0,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.
1,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.
2,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www. nyc. gov/hpd.
3,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www. nyc. gov/hpd
4,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.
5,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists please file a new complaint.
6,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number.
7,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.
8,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.
9,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www. nyc. gov/hpd.
10,More than one complaint was received for this building-wide condition. This complaint status is for the initial complaint. The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.
11,The appropriate agency will fulfill this literature request within 7 days. Please allow additional time for delivery. Please note your Service Request number for future reference.
12,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.
13,The Department of Housing Preservation and Development conducted an inspection for the following conditions and identified potential lead-based paint conditions. HPD will attempt to contact you to schedule a follow-up inspection to test the paint for lead.
14,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www. nyc. gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.
15,The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.
16,The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed. The complaint has been closed.
17,The Department of Housing Preservation and Development has closed this complaint administratively. More information can be found through HPD's website at www. nyc. gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.
18,The Department of Housing Preservation and Development inspected the following conditions. A Section 8 Failure was issued. Both the tenant and the property owner will receive a notice in the mail regarding the details of the Failure and the resulting action by the Agency.
19,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.
20,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. However HPD also identified potential lead-based paint conditions and will attempt to contact you to schedule a follow-up inspection to test the paint for lead. Information about specific violations is available at www. nyc. gov/hpd.
21,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www. nyc. gov/hpd.
22,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www. nyc. gov/hpd.
23,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.
24,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists please file a new complaint.
25,The Department of Housing Preservation and Development was at the building but did not have enough time to inspect the following conditions. If you have not already been contacted please call the Department of Housing Preservation and Development at 212-863-8603 with your complaint number to schedule a follow-up inspection.
26,The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number at 212 234 - 7485 (MANHATTAN).
27,The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number at 718 286 - 0823 (QUEENS).
28,The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number at 718 579-6777 (BRONX).
29,The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number at 718 816 - 2340 (STATEN ISLAND).
30,The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).
31,The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.
32,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. However HPD was able to verify that heat or hot water was inadequate and a violation was issued.
33,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.
34,The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and a violation was issued. Information about specific violations is available at www. nyc. gov/hpd.
35,The Department of Housing Preservation and Development was unable to access the rooms where the following conditions were reported. No violations were issued. The complaint has been closed.
36,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.
37,The literature has been mailed. If it has not been received please request it again from 311.
38,The literature was emailed to you but was not received by your email account. 311 can submit a new request to be sent by direct mail.
39,The literature will be emailed within 24 hours. If it is not received please call 311 and submit a new request.
