text_tag,grouped_text_tag
COMPLAINT CONDITIONS ARE STILL OPEN,COMPLAINT STILL OPEN
ORIGINAL COMPLAINT IS STILL OPEN,COMPLAINT STILL OPEN
OUTCOME UNKNOWN CLOSED,OUTCOME UNKNOWN CLOSED
NOT ABLE TO GAIN ACCESS,COMPLAINT STILL OPEN
CONDITIONS WERE CORRECTED,CONDITIONS CORRECTED
RESTORED,CONDITIONS CORRECTED
VIOLATIONS WERE ISSUED,VIOLATIONS WERE ISSUED
NO VIOLATIONS WERE ISSUED,NO VIOLATIONS WERE ISSUED
COMPLAINT WAS ADDRESSED,CONDITIONS CORRECTED
VIOLATION WAS ISSUED,VIOLATIONS WERE ISSUED
VIOLATIONS WERE PREVIOUSLY ISSUED,VIOLATIONS WERE PREVIOUSLY ISSUED
IDENTIFIED POTENTIAL LEAD,IDENTIFIED POTENTIAL LEAD
CLOSED THIS COMPLAINT ADMINISTRATIVELY,CLOSED THIS COMPLAINT ADMINISTRATIVELY
SECTION 8 FAILURE WAS ISSUED,VIOLATIONS WERE ISSUED
LITERATURE WILL BE EMAILED WITHIN 24 HOURS,LITERATURE BEING SENT
LITERATURE HAS BEEN MAILED,LITERATURE BEING SENT
DID NOT HAVE ENOUGH TIME TO INSPECT,COMPLAINT STILL OPEN
