text_tag,tag_type
BUILDING-WIDE CONDITION,record_type
HEAT OR HOT WATER,record_type
COMPLAINT STATUS IS FOR THE INITIAL COMPLAINT,record_type
CONDITIONS WERE CORRECTED,outcome
COMPLAINT WAS ADDRESSED,outcome
COMPLAINT HAS BEEN CLOSED,outcome
NO VIOLATIONS WERE ISSUED,outcome
VIOLATIONS WERE PREVIOUSLY ISSUED,outcome
VIOLATION WAS ISSUED,outcome
IDENTIFIED POTENTIAL LEAD,outcome
ALSO IDENTIFIED POTENTIAL LEAD,outcome
CLOSED THIS COMPLAINT ADMINISTRATIVELY,outcome
SECTION 8 FAILURE WAS ISSUED,outcome
RESTORED,outcome
HEAT WAS NOT REQUIRED,outcome
DID NOT HAVE ENOUGH TIME TO INSPECT,outcome
HEAT OR HOT WATER WAS INADEQUATE,outcome
COMPLAINT CONDITIONS ARE STILL OPEN,outcome
ORIGINAL COMPLAINT IS STILL OPEN,outcome
LITERATURE HAS BEEN MAILED,outcome
LITERATURE WAS EMAILED BUT WAS NOT RECEIVED,outcome
LITERATURE WILL BE EMAILED WITHIN 24 HOURS,outcome
CONTACTED A TENANT,process
CONTACTED AN OCCUPANT,process
INSPECTED THE FOLLOWING CONDITIONS,process
ADVISED BY A TENANT IN THE BUILDING,process
NOT ABLE TO GAIN ACCESS,outcome
UNABLE TO ACCESS,outcome
BY INSPECTING ANOTHER APARTMENT,process
MAY ATTEMPT TO CONTACT YOU,next_steps
WILL ATTEMPT TO CONTACT YOU,next_steps
INSPECTION TO TEST THE PAINT FOR LEAD,next_steps
CONDUCTED OR ATTEMPTED TO CONDUCT AN INSPECTION,next_steps
IF THE CONDITION STILL EXISTS PLEASE FILE A NEW COMPLAINT,next_steps
INFORMATION ABOUT SPECIFIC VIOLATIONS IS AVAILABLE AT WWW. NYC. GOV/HPD,next_steps
IF THE CONDITIONS STILL EXIST AND AN INSPECTION IS REQUIRED PLEASE CONTACT THE BOROUGH OFFICE WITH YOUR COMPLAINT NUMBER,next_steps
PLEASE NOTE YOUR SERVICE REQUEST NUMBER FOR FUTURE REFERENCE,next_steps
INFORMATION ABOUT INSPECTION RESULTS CAN BE FOUND THROUGH HPD'S WEBSITE,next_steps
MORE INFORMATION CAN BE FOUND THROUGH HPD'S WEBSITE,next_steps
TENANT AND THE PROPERTY OWNER WILL RECEIVE A NOTICE IN THE MAIL,next_steps
SCHEDULE A FOLLOW-UP INSPECTION,next_steps
IF IT HAS NOT BEEN RECEIVED PLEASE REQUEST IT AGAIN,next_steps
311 CAN SUBMIT A NEW REQUEST TO BE SENT BY DIRECT MAIL,next_steps
IF IT IS NOT RECEIVED PLEASE CALL 311 AND SUBMIT A NEW REQUEST,next_steps
MAY CONDUCT AN INSPECTION,process
VIOLATIONS WERE ISSUED,outcome
AT THE TIME OF THE INSPECTION,process
